Squad,Season,Opposition,Numbers,Call,CallType,Setup,Movement,Area,Drive,Crusaders,Transfer,Flyby,Hooker,Jumper,Won
1st,2021/22,London Irish,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2021/22,London Irish,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,Gus,True
1st,2021/22,London Irish,6,Even,Old,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,London Irish,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,London Irish,6,Green,Old,,Jump,Back,False,False,False,,Ben,Rory,True
1st,2021/22,London Irish,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,False
1st,2021/22,London Irish,4,Yes,4-man only,,Move,Back,False,False,False,,Ben,Sam,False
1st,2021/22,London Irish,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,Gus,True
1st,2021/22,London Irish,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,Gus,False
1st,2021/22,London Irish,5,RD,Old,,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2021/22,London Irish,6,Red,Old,,Jump,Front,False,False,False,,Ben,Gus,True
1st,2021/22,Horsham 2nd,5,RD,Old,,Dummy,Middle,False,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,6,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,7,,Other,,Jump,Middle,False,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,4,Yes,4-man only,,Move,Back,False,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,4,No,4-man only,,Dummy,Front,False,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,6,Odd,Old,,Jump,Middle,True,False,False,,Ben,Tim,False
1st,2021/22,Horsham 2nd,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,6,Odd,Old,,Jump,Middle,True,False,False,,Ben,Tim,True
1st,2021/22,Horsham 2nd,5,Red,Old,,Jump,Front,False,False,False,,Ben,Pete,True
1st,2021/22,Horsham 2nd,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,6,RD,Old,,Dummy,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,Pete,True
1st,2021/22,Horsham 2nd,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Horsham 2nd,6,RD,Old,,Dummy,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Eastbourne,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,True
1st,2021/22,Eastbourne,4,Yes,4-man only,,Move,Back,False,False,False,,Ben,Sam,True
1st,2021/22,Eastbourne,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Eastbourne,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,True
1st,2021/22,Eastbourne,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Eastbourne,4,No,4-man only,,Dummy,Front,False,False,False,,Ben,Sam,True
1st,2021/22,Eastbourne,5,,Other,,Jump,Middle,False,False,False,,Ben,Sam,False
1st,2021/22,Eastbourne,4,No,4-man only,,Dummy,Front,False,False,False,,Ben,Sam,True
1st,2021/22,Eastbourne,6,,Other,,Jump,Middle,True,False,False,,Ben,Sam,True
1st,2021/22,Eastbourne,6,Red,Old,,Jump,Front,True,False,False,,Ben,John,True
1st,2021/22,Eastbourne,4,Snap,4-man only,,Jump,Front,False,False,False,,Ben,John,True
